ID,COURSEOVERGROUND,EVENTCERTAINTY,LATITUDE,LONGITUDE,POSITIONINTERPOLATED,SPEEDOVERGROUND,VESSEL_ID,Timestamp,DelSpeed,DelHeading,DelTime
108,129.6999969,3,56.97937667,8.920945,FALSE,6.199999809,7,1398308933,4.999999761,-119.9000092,1
109,129.6999969,3,56.97937667,8.920945,FALSE,6.199999809,7,1398308933,0,0,0
110,122.5999985,2,54.52752333,11.25415333,FALSE,2.599999905,7,1398308946,-3.599999904,-7.0999984,13
111,122.5999985,3,54.52752333,11.25415333,FALSE,2.599999905,7,1398308946,0,0,0
112,24.20000076,2,54.62341,11.31808833,FALSE,8,7,1398308954,5.400000095,-98.39999774,8
113,141.8999939,3,56.97863167,8.922188333,FALSE,6.800000191,7,1398308965,-1.199999809,117.6999931,11
114,141.8999939,3,56.97863167,8.922188333,FALSE,6.800000191,7,1398308965,0,0,0
115,147.6999969,3,56.97833,8.922495,FALSE,7.099999905,7,1398308976,0.299999714,5.800003,11
116,147.6999969,3,56.97833,8.922495,FALSE,7.099999905,7,1398308976,0,0,0
117,149.1999969,3,56.53013167,11.184925,FALSE,16.89999962,7,1398308994,9.799999715,1.5,18
118,177.6999969,3,56.97630833,8.923276667,FALSE,7.5,7,1398309033,-9.39999962,28.5,39
119,177.6999969,3,56.97630833,8.923276667,FALSE,7.5,7,1398309033,0,0,0
120,120.6999969,3,54.52689667,11.25591333,FALSE,2.5,7,1398309046,-5,-57,13
121,120.6999969,3,54.52689667,11.25591333,FALSE,2.5,7,1398309046,0,0,0
122,29.39999962,3,56.53010333,11.18628667,FALSE,0.899999976,7,1398309050,-1.600000024,-91.29999728,4
123,247.1000061,3,54.73117667,8.688436667,FALSE,1.200000048,7,1398309076,0.300000072,217.7000065,26
124,247.1000061,3,54.73117667,8.688436667,FALSE,1.200000048,7,1398309076,0,0,0
125,215.6999969,3,55.08707667,8.56812,FALSE,0.800000012,7,1398309098,-0.400000036,-31.4000092,22
126,244.3000031,3,54.73091333,8.686461667,FALSE,5.5,7,1398309136,4.699999988,28.6000062,38
127,244.3000031,3,54.73091333,8.686461667,FALSE,5.5,7,1398309136,0,0,0
128,230.8000031,3,54.73067833,8.685943333,FALSE,5.900000095,7,1398309149,0.400000095,-13.5,13
129,230.8000031,3,54.73067833,8.685943333,FALSE,5.900000095,7,1398309149,0,0,0
130,25.29999924,2,54.63019167,11.32320833,FALSE,8,7,1398309156,2.099999905,-205.5000039,7
131,122.9000015,2,54.52623667,11.25776667,FALSE,2.5,7,1398309158,-5.5,97.60000226,2
